day,diversity,replicate,competition,clone,rotifers,method_r,protist,method_p,NOTES
10,Low,D,TRUE,5,13,slide,102,line,
10,Low,E,TRUE,1,38,slide,90,line,
10,Low,E,TRUE,2,32,slide,124,line,
10,Low,E,TRUE,3,11,slide,44,line,
10,Low,E,TRUE,4,13,slide,143,line,
10,Low,E,TRUE,5,14,slide,96,line,
10,Low,F,TRUE,1,39,slide,119,line,
10,Low,F,TRUE,2,26,slide,109,line,
10,Low,F,TRUE,3,13,slide,107,line,
10,Low,F,TRUE,4,35,slide,142,line,
10,Low,F,TRUE,5,23,slide,141,line,
10,High,A,FALSE,mix,40,slide,,line,
10,High,B,FALSE,mix,27,slide,,line,
10,High,C,FALSE,mix,31,slide,,line,
10,High,D,TRUE,mix,20,slide,76,line,
10,High,E,TRUE,mix,34,slide,99,line,
10,High,F,TRUE,mix,24,slide,105,line,
12,Low,A,FALSE,1,45,slide,,line,
12,Low,A,FALSE,2,23,slide,,line,
12,Low,A,FALSE,3,36,slide,,line,
12,Low,A,FALSE,4,45,slide,,line,
12,Low,A,FALSE,5,29,slide,,line,
12,Low,B,FALSE,1,36,slide,,line,
12,Low,B,FALSE,2,43,slide,,line,
12,Low,B,FALSE,3,45,slide,,line,
12,Low,B,FALSE,4,49,slide,,line,
12,Low,B,FALSE,5,34,slide,,line,
12,Low,C,FALSE,1,35,slide,,line,
12,Low,C,FALSE,2,28,slide,,line,
12,Low,C,FALSE,3,40,slide,,line,
12,Low,C,FALSE,4,32,slide,,line,
12,Low,C,FALSE,5,31,slide,,line,
12,Low,D,TRUE,1,19,slide,96,line,
12,Low,D,TRUE,2,22,slide,142,line,
12,Low,D,TRUE,3,28,slide,213,line,
12,Low,D,TRUE,4,19,slide,97,line,
12,Low,D,TRUE,5,11,slide,66,line,
12,Low,E,TRUE,1,19,slide,77,line,
12,Low,E,TRUE,2,16,slide,147,line,
12,Low,E,TRUE,3,14,slide,54,line,
12,Low,E,TRUE,4,27,slide,104,line,
12,Low,E,TRUE,5,30,slide,125,line,
12,Low,F,TRUE,1,21,slide,86,line,
12,Low,F,TRUE,2,28,slide,169,line,
12,Low,F,TRUE,3,17,slide,96,line,
12,Low,F,TRUE,4,11,slide,170,line,
12,Low,F,TRUE,5,18,slide,148,line,
12,High,A,FALSE,mix,36,slide,,line,
12,High,B,FALSE,mix,29,slide,,line,
12,High,C,FALSE,mix,38,slide,,line,
12,High,D,TRUE,mix,24,slide,82,line,
12,High,E,TRUE,mix,21,slide,78,line,
12,High,F,TRUE,mix,22,slide,141,line,
14,Low,A,FALSE,1,39,slide,,line,
14,Low,A,FALSE,2,21,slide,,line,
14,Low,A,FALSE,3,37,slide,,line,
14,Low,A,FALSE,4,23,slide,,line,
14,Low,A,FALSE,5,22,slide,,line,
14,Low,B,FALSE,1,46,slide,,line,
14,Low,B,FALSE,2,12,slide,,line,
14,Low,B,FALSE,3,32,slide,,line,
14,Low,B,FALSE,4,45,slide,,line,
14,Low,B,FALSE,5,37,slide,,line,
14,Low,C,FALSE,1,30,slide,,line,
14,Low,C,FALSE,2,24,slide,,line,
14,Low,C,FALSE,3,40,slide,,line,
14,Low,C,FALSE,4,40,slide,,line,
14,Low,C,FALSE,5,38,slide,,line,
14,Low,D,TRUE,1,19,slide,93,line,
14,Low,D,TRUE,2,10,slide,90,line,
14,Low,D,TRUE,3,22,slide,123,line,
14,Low,D,TRUE,4,18,slide,39,line,
14,Low,D,TRUE,5,21,slide,102,line,
14,Low,E,TRUE,1,22,slide,71,line,
14,Low,E,TRUE,2,17,slide,70,line,
14,Low,E,TRUE,3,13,slide,41,line,
14,Low,E,TRUE,4,24,slide,99,line,
14,Low,E,TRUE,5,18,slide,41,line,
